hindfoot_mm,tibia_mm,species
5.56,15.19,Myotis_mystacinus
5.65,15.0,Myotis_mystacinus
5.65,15.59,Myotis_mystacinus
5.74,14.7,Myotis_mystacinus
5.74,16.98,Myotis_mystacinus
5.83,15.79,Myotis_mystacinus
5.83,15.99,Myotis_mystacinus
5.83,16.18,Myotis_mystacinus
5.83,16.38,Myotis_mystacinus
5.83,16.48,Myotis_mystacinus
5.83,16.68,Myotis_mystacinus
5.92,15.69,Myotis_mystacinus
5.92,16.58,Myotis_mystacinus
5.92,17.47,Myotis_mystacinus
6.01,15.49,Myotis_mystacinus
6.01,15.99,Myotis_mystacinus
6.01,16.09,Myotis_mystacinus
6.01,16.58,Myotis_mystacinus
6.01,16.68,Myotis_mystacinus
6.01,17.07,Myotis_mystacinus
6.01,17.17,Myotis_mystacinus
6.01,17.37,Myotis_mystacinus
6.09,15.29,Myotis_mystacinus
6.09,15.59,Myotis_mystacinus
6.09,15.79,Myotis_mystacinus
6.09,15.89,Myotis_mystacinus
6.09,15.99,Myotis_mystacinus
6.09,16.28,Myotis_mystacinus
6.19,15.09,Myotis_mystacinus
6.19,15.39,Myotis_mystacinus
6.19,15.69,Myotis_mystacinus
6.19,16.18,Myotis_mystacinus
6.27,16.29,Myotis_davidii
6.28,14.9,Myotis_mystacinus
6.28,15.09,Myotis_mystacinus
6.28,15.29,Myotis_mystacinus
6.28,15.39,Myotis_mystacinus
6.28,15.99,Myotis_mystacinus
6.28,16.09,Myotis_mystacinus
6.28,16.48,Myotis_mystacinus
6.28,17.17,Myotis_mystacinus
6.36,15.59,Myotis_mystacinus
6.36,15.69,Myotis_mystacinus
6.36,16.38,Myotis_mystacinus
6.36,16.48,Myotis_mystacinus
6.45,15.79,Myotis_mystacinus
6.45,16.18,Myotis_mystacinus
6.45,16.48,Myotis_mystacinus
6.45,16.98,Myotis_mystacinus
6.45,17.07,Myotis_mystacinus
6.45,17.27,Myotis_mystacinus
6.45,17.58,Myotis_davidii
6.54,16.49,Myotis_davidii
6.55,14.9,Myotis_mystacinus
6.55,15.09,Myotis_mystacinus
6.55,15.59,Myotis_mystacinus
6.55,15.89,Myotis_mystacinus
6.55,16.38,Myotis_mystacinus
6.55,16.87,Myotis_mystacinus
6.63,17.48,Myotis_davidii
6.64,15.99,Myotis_mystacinus
6.64,16.18,Myotis_mystacinus
6.72,15.19,Myotis_mystacinus
6.72,15.59,Myotis_mystacinus
6.72,15.99,Myotis_mystacinus
6.72,16.1,Myotis_davidii
6.72,16.18,Myotis_mystacinus
6.72,16.4,Myotis_davidii
6.72,16.49,Myotis_davidii
6.72,16.59,Myotis_davidii
6.72,16.69,Myotis_davidii
6.72,16.78,Myotis_mystacinus
6.72,16.87,Myotis_mystacinus
6.72,16.98,Myotis_mystacinus
6.72,17.08,Myotis_davidii
6.72,17.17,Myotis_mystacinus
6.72,17.28,Myotis_davidii
6.77,14.32,Myotis_mystacinus
6.81,15.79,Myotis_mystacinus
6.81,16.1,Myotis_davidii
6.81,16.29,Myotis_davidii
6.81,16.89,Myotis_davidii
6.81,17.28,Myotis_davidii
6.81,18.17,Myotis_davidii
6.9,15.39,Myotis_mystacinus
6.9,16.09,Myotis_mystacinus
6.9,16.2,Myotis_davidii
6.9,16.29,Myotis_davidii
6.9,16.38,Myotis_mystacinus
6.9,16.48,Myotis_mystacinus
6.9,16.98,Myotis_davidii
6.9,17.38,Myotis_davidii
6.9,17.48,Myotis_davidii
6.9,17.58,Myotis_davidii
6.9,17.67,Myotis_davidii
6.99,15.49,Myotis_mystacinus
6.99,16.29,Myotis_davidii
6.99,16.59,Myotis_davidii
6.99,16.68,Myotis_mystacinus
6.99,16.79,Myotis_davidii
6.99,16.89,Myotis_davidii
6.99,17.08,Myotis_davidii
6.99,17.48,Myotis_davidii
6.99,18.07,Myotis_davidii
6.99,18.37,Myotis_davidii
7.08,14.8,Myotis_mystacinus
7.08,15.9,Myotis_davidii
7.08,17.08,Myotis_davidii
7.08,17.87,Myotis_davidii
7.17,16.38,Myotis_mystacinus
7.17,16.98,Myotis_mystacinus
7.17,17.07,Myotis_mystacinus
7.17,17.17,Myotis_mystacinus
7.17,17.27,Myotis_davidii
7.17,17.47,Myotis_davidii
7.17,17.67,Myotis_davidii
7.17,17.77,Myotis_davidii
7.17,17.97,Myotis_davidii
7.17,18.07,Myotis_davidii
7.26,16.59,Myotis_davidii
7.26,16.87,Myotis_mystacinus
7.26,16.98,Myotis_davidii
7.26,17.08,Myotis_davidii
7.26,17.38,Myotis_davidii
7.26,17.48,Myotis_davidii
7.35,16.28,Myotis_mystacinus
7.35,17.87,Myotis_davidii
7.44,16.38,Myotis_mystacinus
7.44,16.78,Myotis_mystacinus
7.53,16.2,Myotis_davidii
7.53,17.08,Myotis_davidii
7.53,17.87,Myotis_davidii
7.62,16.99,Myotis_davidii
7.62,17.08,Myotis_davidii
7.62,18.17,Myotis_davidii
7.79,16.69,Myotis_davidii
7.79,18.17,Myotis_davidii
7.79,18.27,Myotis_davidii
7.8,17.08,Myotis_davidii
7.89,16.49,Myotis_davidii
7.89,17.08,Myotis_davidii
7.89,17.28,Myotis_davidii
7.98,18.27,Myotis_davidii
8.15,17.18,Myotis_davidii
8.78,17.18,Myotis_davidii
5.1,15.8,Myotis_mystacinus
5.1,16.2,Myotis_mystacinus
5.2,16.2,Myotis_mystacinus
